ZIPCODE,AREA,COUNTY
11434,87379704.1578414,Queens
11216,26478229.2634433,Kings
11416,18854849.8013032,Queens
11233,37871693.6822543,Kings
10055,37223.53879059,New York
10019,18828383.1167983,New York
10111,103066.25326749,New York
10153,80339.64722531,New York
10154,79148.80239471,New York
10152,59924.99827374,New York
10115,71720.1154679,New York
10022,12728335.6230472,New York
11370,18190205.1866401,Bronx
10065,11442579.5473714,New York
10075,4809654.27648916,New York
10069,2372365.88905417,New York
10281,955857.82189407,New York
10282,1562844.98744848,New York
11211,40470881.6712834,Kings
11373,42654860.3372075,Queens
10279,28664.70581259,New York
10165,40779.8152016,New York
10168,27810.12206039,New York
10105,35422.15675474,New York
10118,91733.71536502,New York
10176,18289.08973373,New York
10170,61793.17513498,New York
10112,164078.16778045,New York
10122,23294.63810493,New York
10107,23030.17589801,New York
10103,62713.25340641,New York
10174,44203.225551,New York
10166,110438.62316925,New York
10169,66246.34636524,New York
10167,80926.18724468,New York
10177,24688.05110227,New York
10172,79589.10010435,New York
10171,23525.08592042,New York
10270,31255.80042657,New York
10104,89721.85254792,New York
10271,49236.87720047,New York
10110,21249.06351801,New York
10175,18685.39452547,New York
10151,21380.26837704,New York
10173,25689.4205866,New York
10178,51303.03763325,New York
10121,115104.79934758,New York
10123,16138.53696529,New York
10106,31052.55279476,New York
10158,35395.77014453,New York
10041,162236.64686066,New York
10120,35179.27221883,New York
10278,206705.99517726,New York
10155,24784.68853834,New York
10043,38262.36480837,New York
10081,30240.50545136,New York
10096,42106.11469036,New York
10097,65826.17797858,New York
10196,32502.4403287,New York
10196,3154.82497313,New York
10275,48280.41500036,New York
10265,17229.15496418,New York
10045,47808.98541408,New York
10047,10149.77968393,New York
10047,10149.77968393,New York
10080,77111.44771105,New York
10203,37226.88358199,New York
10259,21064.31295297,New York
10260,52514.73508273,New York
10285,67350.38895987,New York
10286,11264.4123784,New York
10035,23494871.4647732,New York
11371,30558474.9078386,Queens
11361,50163518.2433512,Queens
10036,11395110.509595,New York
11414,63928824.719027,Queens
10310,53463275.0024921,Richmond
11693,3497515.7797433,Kings
11249,17772206.1701202,Kings
10162,21034.88691763,New York
10119,126392.97354801,New York
